ROIid;ROIabbr;ROIname;ROIcolor
99;Cerebelum_6_L;Cerebelum_6_L;106 78 104
100;Cerebelum_6_R;Cerebelum_6_R;122 150 52
101;Cerebelum_7b_L;Cerebelum_7b_L;86 30 122
102;Cerebelum_7b_R;Cerebelum_7b_R;98 122 104
103;Cerebelum_8_L;Cerebelum_8_L;2 58 20
104;Cerebelum_8_R;Cerebelum_8_R;86 82 70
105;Cerebelum_9_L;Cerebelum_9_L;110 214 246
106;Cerebelum_9_R;Cerebelum_9_R;146 182 198
107;Cerebelum_10_L;Cerebelum_10_L;200 220 218
108;Cerebelum_10_R;Cerebelum_10_R;102 60 118
109;Vermis_1_2;Vermis_1_2;160 36 240
110;Vermis_3;Vermis_3;166 238 48
111;Vermis_4_5;Vermis_4_5;14 128 220
112;Vermis_6;Vermis_6;122 204 222
113;Vermis_7;Vermis_7;230 158 84
114;Vermis_8;Vermis_8;162 130 0
115;Vermis_9;Vermis_9;170 26 178
116;Vermis_10;Vermis_10;46 32 76
